nan_num_pct,nan_cat_pct,num_strategy,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.05,0.03,median,0.952,0.8523489932885906,0.8300653594771242,0.8410596026490066,0.964048429289071,825,22,26,127
0.05,0.03,mean,0.952,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.9646348897685796,823,24,24,129
