mode,n_iter,cv_best_roc_auc,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,best_params
compact,30,0.966698805112143,0.954,0.8741258741258742,0.8169934640522876,0.8445945945945946,0.9698358682315902,829,18,28,125,"{'model__subsample': 0.7, 'model__scale_pos_weight': 5.514657980456026, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}"
extended,120,0.9665372884758507,0.955,0.8913043478260869,0.803921568627451,0.845360824742268,0.9663634048660787,832,15,30,123,"{'model__subsample': np.float64(0.8), 'model__scale_pos_weight': 5.514657980456026, 'model__reg_lambda': np.float64(0.59948), 'model__reg_alpha': np.float64(0.16681), 'model__n_estimators': np.int64(750), 'model__min_child_weight': 3, 'model__max_depth': np.int64(10), 'model__learning_rate': np.float64(0.04642), 'model__gamma': 0.05, 'model__colsample_bytree': np.float64(0.85)}"
